cost_eur_per_mwh,oos_sharpe,oos_annualized_pnl_eur
0.0,5.605558499334171,1024.7992061594205
1.0,5.295534879916438,963.1563490165632
2.0,4.980370342155561,901.5134918737061
3.0,4.660332013710398,839.8706347308488
4.0,4.335712295641893,778.2277775879919
5.0,4.006828035501487,716.5849204451346
6.0,3.674019410902554,654.9420633022776
7.0,3.33764852475304,593.2992061594204
8.0,2.9980977193584755,531.6563490165631
9.0,2.6557676228217084,470.0134918737061
10.0,2.311074947366086,408.3706347308489
11.0,1.9644500651755186,346.7277775879918
12.0,1.6163343928580352,285.08492044513457
13.0,1.2671776204877219,223.44206330227746
14.0,0.9174348251712738,161.79920615942032
15.0,0.5675635120587874,100.15634901656321
16.0,0.2180206275523477,38.513491873706066
17.0,-0.13074040991356925,-23.12936526915108
18.0,-0.47827261676178323,-84.77222241200825
